,carrier,distance,travel_time,segment,betweenness,shape
944,Tropic Ocean Airways LLC,55,1709,"('MPB', 'NSB')",0.00033854007594151167,"[[-80.1703033447, 25.7782993317], [-79.25, 25.7670001984]]"
945,Tropic Ocean Airways LLC,142,60,"('MPB', 'SAQ')",0.0001982874109527213,"[[-80.1703033447, 25.7782993317], [-78.0490036011, 25.0538005829]]"
946,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,1068,135,"('MQY', 'GGT')",0.00022512764521035304,"[[-86.5201034546, 36.0089988708], [-75.8779983521, 23.5625991821]]"
947,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,721,140,"('MQY', 'YEM')",0.00013113544235774738,"[[-86.5201034546, 36.0089988708], [-81.8581008911, 45.8428001404]]"
948,USA Jet Airlines Inc.,473,90,"('MQY', 'YQG')",0.00022442231834387708,"[[-86.5201034546, 36.0089988708], [-82.9555969238, 42.2756004333]]"
949,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,934,138,"('MQY', 'YUL')",0.0016279153938353582,"[[-86.5201034546, 36.0089988708], [-73.7407989502, 45.4706001282]]"
950,Delta Air Lines Inc.,2617,1661,"('MSP', 'AUA')",0.0003863708224801029,"[[-93.2218017578, 44.8819999695], [-70.0151977539, 12.5013999939]]"
951,Delta Air Lines Inc.,4222,14518,"('MSP', 'CDG')",0.00020326642932572567,"[[-93.2218017578, 44.8819999695], [2.54999995232, 49.0127983093]]"
952,Sun Country Airlines d/b/a MN Airlines,1682,20702,"('MSP', 'CUN')",0.00041272563805262556,"[[-93.2218017578, 44.8819999695], [-86.8770980835, 21.0365009308]]"
953,Delta Air Lines Inc.,1717,3882,"('MSP', 'CZM')",0.0001754140583836927,"[[-93.2218017578, 44.8819999695], [-86.9255981445, 20.5223999023]]"
954,Condor Flugdienst,4393,0,"('MSP', 'FRA')",0.00025432748801506764,"[[-93.2218017578, 44.8819999695], [8.54313, 50.026402]]"
955,Delta Air Lines Inc.,1891,1370,"('MSP', 'GCM')",0.00027120349519735987,"[[-93.2218017578, 44.8819999695], [-81.3576965332, 19.2928009033]]"
956,Delta Air Lines Inc.,5982,22428,"('MSP', 'HND')",0.00022085085121673062,"[[-93.2218017578, 44.8819999695], [139.779998779, 35.5522994995]]"
957,Sun Country Airlines d/b/a MN Airlines,2013,1244,"('MSP', 'HUX')",0.00031730379219359404,"[[-93.2218017578, 44.8819999695], [-96.2626037598, 15.7753000259]]"
958,Delta Air Lines Inc.,6248,760,"('MSP', 'ICN')",0.0003937128768617495,"[[-93.2218017578, 44.8819999695], [126.450996399, 37.4691009521]]"
959,Delta Air Lines Inc.,2945,10804,"('MSP', 'KEF')",0.0003752773994252212,"[[-93.2218017578, 44.8819999695], [-22.6056003571, 63.9850006104]]"
960,Norwegian Air Shuttle ASA,4037,0,"('MSP', 'LGW')",0.00021065636190774296,"[[-93.2218017578, 44.8819999695], [-0.190277993679, 51.1481018066]]"
961,Delta Air Lines Inc.,4015,14966,"('MSP', 'LHR')",0.0001965700782933215,"[[-93.2218017578, 44.8819999695], [-0.461941, 51.4706]]"
962,Delta Air Lines Inc.,2405,4096,"('MSP', 'LIR')",0.0003803362890108372,"[[-93.2218017578, 44.8819999695], [-85.5444030762, 10.5932998657]]"
963,Delta Air Lines Inc.,2021,6204,"('MSP', 'MBJ')",0.00041971465319630614,"[[-93.2218017578, 44.8819999695], [-77.9133987427, 18.5037002563]]"
964,Sun Country Airlines d/b/a MN Airlines,1669,4859,"('MSP', 'MZT')",0.00021439723477805376,"[[-93.2218017578, 44.8819999695], [-106.26599884, 23.1613998413]]"
965,Sun Country Airlines d/b/a MN Airlines,2310,14020,"('MSP', 'PUJ')",0.00042354320320748753,"[[-93.2218017578, 44.8819999695], [-68.3634033203, 18.5673999786]]"
966,Kalitta Charters II,1798,236,"('MSP', 'TLC')",0.000370639754000288,"[[-93.2218017578, 44.8819999695], [-99.5660018921, 19.3370990753]]"
967,Endeavor Air Inc.,1086,10679,"('MSP', 'YEG')",0.0003935034364417945,"[[-93.2218017578, 44.8819999695], [-113.580001831, 53.3097000122]]"
968,Chartright Air Inc.,1321,0,"('MSP', 'YKA')",0.0011804311003800222,"[[-93.2218017578, 44.8819999695], [-120.444000244, 50.7022018433]]"
969,Korean Air Lines Co. Ltd.,6155,0,"('MSP', 'YNY')",0.000607359980565203,"[[-93.2218017578, 44.8819999695], [128.669006348, 38.0612983704]]"
970,Miami Air International,684,120,"('MSY', 'HAV')",0.00017975906694666516,"[[-90.2580032349, 29.9934005737], [-82.4091033936, 22.989200592]]"
971,Envoy Air,458,185,"('MTY', 'ABI')",0.0005478917425770235,"[[-100.107002258, 25.7784996033], [-99.6819000244, 32.4113006592]]"
